127.0.0.1, 2013-11-04 18:22:17, GET, /admin/static/_2.7.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.004565
127.0.0.1, 2013-11-04 18:22:17, GET, /admin/static/_2.7.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000332
127.0.0.1, 2013-11-04 18:22:17, GET, /admin/static/_2.7.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000251
127.0.0.1, 2013-11-04 18:22:17, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000289
127.0.0.1, 2013-11-04 18:22:17, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000434
127.0.0.1, 2013-11-04 18:22:17, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000272
127.0.0.1, 2013-11-04 18:22:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000377
127.0.0.1, 2013-11-04 18:22:21, POST, /admin/default/index, HTTP/1.1, 303, 0.031401
127.0.0.1, 2013-11-04 18:22:21, GET, /admin/default/site, HTTP/1.1, 200, 0.035438
127.0.0.1, 2013-11-04 18:22:21, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.000462
127.0.0.1, 2013-11-04 18:22:21, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 200, 0.000392
127.0.0.1, 2013-11-04 18:22:21, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000429
127.0.0.1, 2013-11-04 18:22:25, POST, /admin/default/enable/examples, HTTP/1.1, 200, 0.024308
127.0.0.1, 2013-11-04 18:22:27, POST, /admin/default/enable/welcome, HTTP/1.1, 200, 0.031081
127.0.0.1, 2013-11-04 18:22:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000309
127.0.0.1, 2013-11-04 18:22:41, POST, /admin/default/site, HTTP/1.1, 303, 0.080453
127.0.0.1, 2013-11-04 18:22:42, GET, /admin/default/design/server_manage, HTTP/1.1, 200, 0.106194
127.0.0.1, 2013-11-04 18:22:42, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000462
127.0.0.1, 2013-11-04 18:22:42, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000415
127.0.0.1, 2013-11-04 18:22:42, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000541
127.0.0.1, 2013-11-04 18:22:42, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000257
127.0.0.1, 2013-11-04 18:22:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000218
127.0.0.1, 2013-11-04 18:23:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000251
127.0.0.1, 2013-11-04 18:23:01, POST, /admin/default/check_version, HTTP/1.1, 200, 40.116161
127.0.0.1, 2013-11-04 18:23:08, GET, /admin/default/peek/server_manage/models/db.py, HTTP/1.1, 200, 0.039399
127.0.0.1, 2013-11-04 18:23:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000381
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/default/edit/server_manage/models/db.py, HTTP/1.1, 200, 0.040675
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000461
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000399
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000562
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.004312
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000390
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.006246
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001412
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.004269
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.003483
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000421
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001450
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000385
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000393
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000407
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001014
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000694
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002259
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001211
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001456
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.003594
127.0.0.1, 2013-11-04 18:23:13, GET, /admin/static/_2.7.3/js/typeahead.min.js, HTTP/1.1, 200, 0.001368
